data,total_viagens,crescimento_diario
2016-09-30,25,-51
2017-12-23,15,-50
2017-09-06,62,-50
2017-07-01,44,-49
2017-07-07,69,-48
2018-01-04,2,-46
2017-05-05,31,-46
2017-08-15,75,-46
2018-01-28,37,-45
2017-05-22,41,-45
2017-08-18,60,-45
2018-05-22,96,-44
2017-04-25,28,-43
2018-02-17,38,-43
2017-11-07,74,-43
2017-11-23,14,-42
2018-02-07,34,-42
2017-05-20,75,-41
2018-05-16,76,-41
2017-08-04,85,-40
2017-04-06,23,-39
2017-08-20,84,-39
2017-10-28,118,-39
2017-06-17,54,-38
2017-09-23,102,-38
2018-05-31,110,-38
2017-04-04,34,-37
2017-06-06,59,-37
2017-09-02,64,-37
2017-11-04,102,-36
2017-11-22,56,-35
2017-07-27,79,-35
2016-05-03,12,-34
2018-02-10,28,-34
2018-04-02,39,-34
2018-03-25,42,-34
2017-11-05,68,-34
2018-01-12,38,-33
2017-04-12,60,-33
2017-04-30,49,-32
2018-05-27,56,-32
2016-06-05,14,-31
2018-05-13,48,-31
2016-09-24,62,-31
2017-12-05,76,-31
2016-09-01,47,-30
2018-02-03,31,-29
2016-07-14,47,-29
2017-07-14,59,-29
2018-05-06,97,-29
2017-09-19,92,-28
2018-03-01,93,-28
2016-04-23,22,-27
2018-03-24,76,-27
2017-12-02,79,-27
2016-09-03,50,-26
2017-09-09,95,-26
2017-10-21,129,-26
2017-10-18,142,-26
2017-10-22,104,-25
2015-12-09,13,-24
2016-07-29,28,-24
2016-07-25,34,-24
2016-06-25,34,-24
2016-08-28,39,-24
2017-11-11,44,-24
2018-03-13,45,-24
2018-03-10,55,-24
2017-06-10,97,-24
2016-05-06,15,-23
2018-02-25,28,-23
2016-07-04,30,-23
2016-06-07,39,-23
2016-09-18,59,-23
2018-02-02,60,-23
2017-04-14,64,-23
2017-06-29,88,-23
2018-04-29,97,-23
2018-05-03,144,-23
2015-11-21,11,-22
2018-01-17,37,-22
2017-12-14,51,-22
